BookingDate,TravelDate,TravelerID,Category,Origin,Destination,DistanceKM,Class,AmountINR,CostCenter,VendorName
2024-01-05,2024-01-10,EMP001,FLIGHT,BOM,DEL,,Economy,8500,CC1001,Concur
2024-01-07,2024-01-15,EMP002,FLIGHT,DEL,BLR,1740,Economy,9200,CC2001,Navan
2024-01-08,2024-01-12,EMP003,HOTEL,Mumbai,Mumbai,,Standard,6200,CC3001,MakeMyTrip
2024-01-12,2024-01-18,EMP004,GROUND_TAXI,Bengaluru,Bengaluru,18,Standard,450,CC1002,Ola
2024-01-14,2024-01-20,EMP005,GROUND_TRAIN,Delhi,Agra,188,Standard,780,CC2002,IRCTC
2024-01-16,2024-01-22,EMP006,FLIGHT,BLR,HYD,,Economy,5100,CC3002,Concur
2024-01-20,2024-01-25,EMP007,FLIGHT,MAA,CCU,,Economy,11200,CC1003,Navan
2024-01-22,2024-01-28,EMP008,HOTEL,Delhi,Delhi,,Standard,5400,CC2003,MakeMyTrip
2024-01-25,2024-02-01,EMP009,GROUND_TAXI,Mumbai,Mumbai,12,Standard,320,CC3003,Ola
2024-01-28,2024-02-05,EMP010,GROUND_TRAIN,Bengaluru,Chennai,346,Standard,980,CC1004,IRCTC
2024-02-01,,EMP011,FLIGHT,BOM,MAA,,Economy,8900,CC2004,Concur
2024-02-03,2024-02-08,EMP012,FLIGHT,DEL,CCU,,Economy,9600,CC3004,Navan
2024-02-06,2024-02-12,EMP013,HOTEL,Chennai,Chennai,,Standard,6100,CC1005,MakeMyTrip
2024-02-10,2024-02-16,EMP014,GROUND_TAXI,Hyderabad,Hyderabad,22,Standard,520,CC2005,Ola
2024-02-12,2024-02-18,EMP015,GROUND_TRAIN,Kolkata,Kolkata,0,Standard,0,CC3005,IRCTC
2024-02-15,2024-02-20,EMP016,FLIGHT,HYD,BOM,620,Economy,7800,CC1006,Concur
2024-02-18,2024-02-24,EMP017,FLIGHT,CCU,DEL,,Economy,10100,CC2006,Navan
2024-02-20,,EMP018,HOTEL,Bengaluru,Bengaluru,,Standard,5900,CC3006,MakeMyTrip
2024-02-22,2024-02-27,EMP019,GROUND_TAXI,Delhi,Delhi,15,Standard,410,CC1007,Ola
2024-02-25,2024-03-01,EMP020,FLIGHT,MAA,BLR,290,Economy,5400,CC2007,Concur
